Potential (V),Current (A)
0.028216571,-2.78E-05
0.01656173,-2.77E-05
0.004293476,-2.72E-05
-0.007668071,-2.73E-05
-0.019936325,-2.75E-05
-0.032204578,-2.72E-05
-0.043552713,-2.75E-05
-0.05551426,-2.82E-05
-0.067782514,-2.87E-05
-0.080050767,-2.95E-05
-0.091705608,-3.03E-05
-0.103667156,-3.12E-05
-0.115935409,-3.21E-05
-0.127283544,-3.29E-05
-0.139551797,-3.37E-05
-0.151206638,-3.48E-05
-0.163781598,-3.54E-05
-0.175436439,-3.64E-05
-0.187704693,-3.67E-05
-0.199359534,-3.75E-05
-0.211934494,-3.77E-05
-0.223589335,-3.83E-05
-0.235550882,-3.85E-05
-0.247512429,-3.84E-05
-0.259780683,-3.87E-05
-0.27174223,-3.88E-05
-0.283703777,-3.88E-05
-0.295051912,-3.90E-05
-0.307933578,-3.90E-05
-0.319895125,-3.90E-05
-0.33124326,-3.93E-05
-0.34381822,-3.96E-05
-0.355473061,-3.97E-05
-0.367434608,-3.99E-05
-0.379702862,-4.03E-05
-0.391664409,-4.08E-05
-0.395038179,-4.01E-05
-0.383076631,-3.81E-05
-0.370808378,-3.67E-05
-0.359460243,-3.55E-05
-0.34719199,-3.44E-05
-0.335230442,-3.34E-05
-0.323268895,-3.26E-05
-0.311000642,-3.19E-05
-0.299039094,-3.12E-05
-0.287077547,-3.04E-05
-0.275422706,-2.96E-05
-0.263154453,-2.92E-05
-0.251192905,-2.86E-05
-0.239538064,-2.79E-05
-0.227269811,-2.75E-05
-0.215308263,-2.67E-05
-0.203346716,-2.62E-05
-0.191078463,-2.55E-05
-0.179116915,-2.51E-05
-0.167462074,-2.43E-05
-0.155500527,-2.38E-05
-0.144152393,-2.31E-05
-0.130657314,-2.21E-05
-0.119002473,-2.17E-05
-0.107040925,-2.10E-05
-0.095692791,-1.98E-05
-0.083424537,-1.90E-05
-0.071156284,-1.84E-05
-0.059501443,-1.78E-05
-0.047233189,-1.68E-05
-0.034964935,-1.60E-05
-0.023310095,-1.53E-05
-0.011348547,-1.47E-05
0.000613,-1.40E-05
0.012574547,-1.33E-05
0.024229388,-1.28E-05
0.036497642,-1.22E-05
0.048459189,-1.17E-05
0.060727443,-1.12E-05
0.072382284,-1.07E-05
0.084343831,-1.02E-05
0.096305378,-9.90E-06
0.108573632,-9.50E-06
0.120228473,-9.21E-06
0.132496726,-8.87E-06
0.144458274,-8.74E-06
0.156726527,-8.40E-06
0.168688074,-8.40E-06
0.180342915,-8.22E-06
0.192917875,-8.16E-06
0.20426601,-8.18E-06
0.216227557,-8.15E-06
0.228802517,-8.34E-06
0.240764064,-8.45E-06
0.252418905,-8.61E-06
0.264380453,-8.72E-06
0.276342,-8.89E-06
0.28891696,-8.96E-06
0.300878507,-9.14E-06
0.311919935,-9.14E-06
0.324494895,-9.11E-06
0.336456442,-9.00E-06
0.348724696,-8.84E-06
0.360379537,-8.41E-06
0.372954497,-7.82E-06
0.384609338,-6.88E-06
0.396570885,-5.52E-06
0.408839139,-3.80E-06
0.420800686,-1.32E-06
0.432148821,8.71E-07
0.444110368,5.34E-06
0.456378621,1.00E-05
0.468340169,1.56E-05
0.480301716,2.22E-05
0.492263263,2.89E-05
0.50422481,3.51E-05
0.516493064,4.11E-05
0.528454611,4.62E-05
0.540416159,4.97E-05
0.552684412,5.24E-05
0.564032547,5.34E-05
0.5763008,5.32E-05
0.587955641,5.25E-05
0.599917189,5.08E-05
0.612798855,4.92E-05
0.624146989,4.70E-05
0.636721949,4.51E-05
0.64837679,4.28E-05
0.660338338,4.12E-05
0.672299885,3.91E-05
0.684261432,3.77E-05
0.696222979,3.59E-05
0.708184527,3.46E-05
0.720759487,3.30E-05
0.732721034,3.18E-05
0.744069168,3.05E-05
0.756337422,2.95E-05
0.768298969,2.84E-05
0.780260517,2.74E-05
0.791915358,2.66E-05
0.795289127,2.51E-05
0.782714167,2.37E-05
0.77075262,2.23E-05
0.759097779,2.13E-05
0.747442938,2.04E-05
0.735481391,1.96E-05
0.722906431,1.86E-05
0.711558296,1.78E-05
0.699596749,1.71E-05
0.687021789,1.65E-05
0.675366948,1.59E-05
0.663405401,1.52E-05
0.651443854,1.43E-05
0.639482306,1.34E-05
0.627214053,1.26E-05
0.614945799,1.17E-05
0.603290958,1.09E-05
0.591329411,9.86E-06
0.57967457,8.51E-06
0.567713023,6.68E-06
0.555751476,4.29E-06
0.543483222,1.00E-06
0.530908262,-1.36E-06
0.519560127,-7.00E-06
0.507291874,-1.21E-05
0.49502362,-1.75E-05
0.483675486,-2.37E-05
0.471407232,-3.00E-05
0.459138978,-3.57E-05
0.447177431,-4.10E-05
0.43552259,-4.53E-05
0.42294763,-4.83E-05
0.410986083,-5.08E-05
0.399331242,-5.16E-05
0.387676401,-5.22E-05
0.375408148,-5.19E-05
0.3634466,-5.09E-05
0.351485053,-5.02E-05
0.339216799,-4.86E-05
0.327255252,-4.74E-05
0.315907118,-4.61E-05
0.303332158,-4.45E-05
0.29137061,-4.33E-05
0.279409063,-4.18E-05
0.267754222,-4.08E-05
0.255485969,-3.97E-05
0.243831128,-3.85E-05
0.231562874,-3.76E-05
0.219294621,-3.67E-05
0.20763978,-3.57E-05
0.195371526,-3.50E-05
0.183409979,-3.40E-05
0.171448431,-3.35E-05
0.159486884,-3.27E-05
0.147832043,-3.21E-05
0.135257083,-3.16E-05
0.123908949,-3.11E-05
0.111640695,-3.05E-05
0.099372442,-2.99E-05
0.087410894,-2.96E-05
0.075756053,-2.90E-05
0.063794506,-2.86E-05
0.051526252,-2.82E-05
0.039257999,-2.79E-05
0.027603158,-2.77E-05
0.015334904,-2.74E-05
0.003373357,-2.72E-05
-0.00858819,-2.71E-05
-0.020549737,-2.72E-05
-0.032511285,-2.72E-05
-0.044166126,-2.77E-05
-0.056434379,-2.82E-05
-0.068395927,-2.85E-05
-0.08066418,-2.95E-05
-0.092625727,-3.02E-05
-0.104280568,-3.11E-05
-0.116548822,-3.22E-05
-0.128510369,-3.29E-05
-0.140471916,-3.39E-05
-0.152126757,-3.46E-05
-0.164701717,-3.56E-05
-0.176663265,-3.59E-05
-0.188011399,-3.66E-05
-0.200586359,-3.72E-05
-0.2122412,-3.76E-05
-0.22481616,-3.79E-05
-0.236164295,-3.80E-05
-0.248432548,-3.80E-05
-0.260700802,-3.81E-05
-0.272048936,-3.84E-05
-0.28431719,-3.83E-05
-0.295972031,-3.85E-05
-0.308240285,-3.83E-05
-0.319895125,-3.84E-05
-0.332163379,-3.88E-05
-0.344124926,-3.88E-05
-0.35639318,-3.89E-05
-0.368354727,-3.92E-05
-0.380009568,-3.96E-05
-0.392584528,-4.01E-05
-0.39411806,-3.90E-05
-0.382463219,-3.73E-05
-0.370194965,-3.59E-05
-0.358233418,-3.47E-05
-0.346271871,-3.38E-05
-0.334310323,-3.27E-05
-0.322655482,-3.20E-05
-0.310693935,-3.13E-05
-0.298732388,-3.05E-05
-0.286770841,-3.01E-05
-0.274502587,-2.93E-05
-0.26254104,-2.87E-05
-0.250886199,-2.83E-05
-0.238311239,-2.74E-05
-0.226349692,-2.68E-05
-0.215001557,-2.66E-05
-0.202426597,-2.59E-05
-0.19046505,-2.53E-05
-0.178503503,-2.46E-05
-0.167155368,-2.40E-05
-0.154580408,-2.33E-05
-0.142312154,-2.27E-05
-0.130657314,-2.20E-05
-0.11838906,-2.13E-05
-0.106427513,-2.05E-05
-0.094772672,-1.97E-05
-0.082811125,-1.89E-05
-0.070849577,-1.83E-05
-0.058581324,-1.76E-05
-0.046619776,-1.69E-05
