Potential (V),Current (A),
0.446564019,-9.55E-05,
0.43552259,-9.62E-05,
0.424174456,-9.44E-05,
0.413133027,-9.16E-05,
0.403318425,-8.77E-05,
0.391663584,-8.28E-05,
0.380622155,-7.77E-05,
0.369274021,-7.27E-05,
0.358539299,-6.94E-05,
0.347497871,-6.61E-05,
0.337069855,-6.32E-05,
0.325415014,-6.09E-05,
0.314373586,-5.86E-05,
0.303638864,-5.67E-05,
0.292904142,-5.51E-05,
0.280942595,-5.31E-05,
0.270514579,-5.18E-05,
0.259779857,-5.07E-05,
0.248125016,-4.93E-05,
0.237390295,-4.79E-05,
0.226655573,-4.72E-05,
0.215614144,-4.63E-05,
0.20426601,-4.49E-05,
0.193531288,-4.43E-05,
0.18248986,-4.36E-05,
0.171448431,-4.28E-05,
0.16071371,-4.20E-05,
0.149365575,-4.17E-05,
0.138324147,-4.06E-05,
0.127282718,-3.99E-05,
0.116547997,-3.96E-05,
0.105506568,-3.89E-05,
0.094158434,-3.87E-05,
0.083730418,-3.81E-05,
0.07268899,-3.77E-05,
0.061340855,-3.70E-05,
0.050606133,-3.67E-05,
0.039564705,-3.65E-05,
0.028829983,-3.58E-05,
0.017481849,-3.58E-05,
0.006133714,-3.55E-05,
-0.004907714,-3.50E-05,
-0.015642436,-3.49E-05,
-0.026683864,-3.51E-05,
-0.037418586,-3.48E-05,
-0.048153308,-3.49E-05,
-0.059501443,-3.53E-05,
-0.070542871,-3.51E-05,
-0.081277593,-3.57E-05,
-0.092625727,-3.60E-05,
-0.096306203,-3.57E-05,
-0.085571482,-3.45E-05,
-0.073916641,-3.37E-05,
-0.062875212,-3.25E-05,
-0.052140491,-3.22E-05,
-0.041099062,-3.13E-05,
-0.029750928,-3.04E-05,
-0.018709499,-2.99E-05,
-0.007668071,-2.94E-05,
0.003373357,-2.90E-05,
0.014108079,-2.86E-05,
0.024842801,-2.84E-05,
0.035884229,-2.80E-05,
0.047232364,-2.76E-05,
0.057967086,-2.72E-05,
0.069008514,-2.69E-05,
0.080049942,-2.70E-05,
0.091398077,-2.67E-05,
0.101826092,-2.62E-05,
0.113174227,-2.58E-05,
0.123602242,-2.59E-05,
0.13556379,-2.58E-05,
0.146298512,-2.54E-05,
0.156726527,-2.50E-05,
0.168381368,-2.50E-05,
0.178809384,-2.48E-05,
0.189544106,-2.44E-05,
0.201505653,-2.42E-05,
0.211933668,-2.43E-05,
0.22266839,-2.41E-05,
0.234323231,-2.36E-05,
0.245364659,-2.36E-05,
0.255792675,-2.36E-05,
0.266834103,-2.30E-05,
0.278182238,-2.28E-05,
0.28891696,-2.28E-05,
0.299958388,-2.25E-05,
0.310999816,-2.20E-05,
0.322347951,-2.20E-05,
0.33246926,-2.15E-05,
0.344737514,-2.07E-05,
0.355472236,-2.04E-05,
0.365593545,-1.98E-05,
0.377248386,-1.88E-05,
0.387676401,-1.72E-05,
0.399024536,-1.53E-05,
0.409759258,-1.31E-05,
0.421107392,-9.91E-06,
0.431842114,-5.58E-06,
0.442576836,2.94E-07,
0.454231677,7.52E-06,
0.465273105,1.66E-05,
0.476007827,2.65E-05,
0.487049255,3.77E-05,
0.497783977,4.91E-05,
0.509438818,6.00E-05,
0.519866834,6.94E-05,
0.530908262,7.67E-05,
0.541642984,8.12E-05,
0.552991119,8.26E-05,
0.56372584,8.19E-05,
0.574767269,7.91E-05,
0.585808697,7.56E-05,
0.597156832,7.13E-05,
0.607891553,6.69E-05,
0.618626275,6.22E-05,
0.630281116,5.84E-05,
0.641015838,5.50E-05,
0.652363973,5.21E-05,
0.662791988,4.92E-05,
0.674140123,4.67E-05,
0.684874845,4.45E-05,
0.695609567,4.27E-05,
0.706957701,4.08E-05,
0.71799913,3.90E-05,
0.729040558,3.78E-05,
0.73977528,3.60E-05,
0.751736827,3.45E-05,
0.761858136,3.36E-05,
0.773206271,3.24E-05,
0.784247699,3.15E-05,
0.794982421,3.00E-05,
0.806023849,2.83E-05,
0.816758571,2.76E-05,
0.827799999,2.63E-05,
0.838841428,2.53E-05,
0.849882856,2.48E-05,
0.860617578,2.42E-05,
0.871965712,2.36E-05,
0.883313847,2.29E-05,
0.893741862,2.22E-05,
0.904783291,2.19E-05,
0.916131425,2.16E-05,
0.927172854,2.14E-05,
0.938214282,2.08E-05,
0.948949004,2.05E-05,
0.960297138,2.01E-05,
0.970111741,1.98E-05,
0.981766582,1.93E-05,
0.99280801,1.88E-05,
0.995568367,1.71E-05,
0.984833645,1.59E-05,
0.973792217,1.51E-05,
0.962444083,1.45E-05,
0.951709361,1.36E-05,
0.940361226,1.29E-05,
0.929626504,1.23E-05,
0.91827837,1.18E-05,
0.90815706,1.15E-05,
0.896808926,1.15E-05,
0.885767498,1.14E-05,
0.874726069,1.13E-05,
0.864298054,1.13E-05,
0.852949919,1.14E-05,
0.841601785,1.14E-05,
0.830867063,1.13E-05,
0.819825634,1.05E-05,
0.809090913,9.85E-06,
0.797742778,9.26E-06,
0.78670135,9.25E-06,
0.775659921,9.51E-06,
0.764618493,9.53E-06,
0.753577065,9.29E-06,
