Potential (V),Current (A),
0.766152024948501,2.82E-05,28.1863126573587
0.778113572213321,2.79E-05,27.8673380636301
0.790075119478141,2.76E-05,27.554497596704
0.797742777981231,2.31E-05,23.1072556649119
0.786394643396658,1.98E-05,19.807095445182
0.773819683451591,1.83E-05,18.2551613641566
0.762164842526894,1.72E-05,17.181689173724
0.74989658892195,1.63E-05,16.3106431677729
0.73793504165713,1.55E-05,15.4764019226368
0.726280200732433,1.48E-05,14.7525749599451
0.713091828107118,1.40E-05,13.9999176012818
0.702050399862669,1.34E-05,13.3668757152666
0.689782146257725,1.29E-05,12.8743053330282
0.678127305333028,1.23E-05,12.3265278095674
0.66555234538796,1.19E-05,11.9229022659647
0.653897504463264,1.14E-05,11.4125429159991
0.642242663538567,1.09E-05,10.8997299153124
0.6296677035935,1.06E-05,10.6292149233234
0.617706156328679,1.02E-05,10.2243625543603
0.606051315403982,9.89E-06,9.89434653238727
0.594089768139162,9.54E-06,9.53672693980316
0.582128220874342,9.10E-06,9.10243076218814
0.570166673609522,8.65E-06,8.65095902952621
0.558205126344701,7.99E-06,7.99399404898146
0.546243579079881,7.40E-06,7.39898374914168
0.534282031815061,6.33E-06,6.32612497138933
0.52232048455024,5.06E-06,5.05881437399863
0.510052230945296,3.22E-06,3.22471046005951
0.498090683680476,6.61E-07,0.661381551842527
0.485822430075532,-3.02E-06,-3.01676356145571
0.473554176470588,-7.99E-06,-7.99460746166171
0.461899335545891,-1.46E-05,-14.6317326619364
0.449631081940947,-2.30E-05,-22.9723048752575
0.438282947356374,-3.30E-05,-32.9647974364843
0.42601469375143,-4.42E-05,-44.2331883726253
0.413746440146487,-5.60E-05,-55.9739070725566
0.401784892881666,-6.72E-05,-67.1809567406729
0.390130051956969,-7.69E-05,-76.903547722591
0.378168504692149,-8.38E-05,-83.7553673609522
0.366206957427329,-8.76E-05,-87.6014648661021
0.353938703822385,-8.80E-05,-87.9940489814603
0.342283862897688,-8.56E-05,-85.6446784161135
0.330015609292744,-8.15E-05,-81.4980086976425
0.318054062027924,-7.67E-05,-76.7072556649119
0.30578580842298,-7.18E-05,-71.7754177157244
0.29382426115816,-6.73E-05,-67.2668345159075
0.282476126573587,-6.32E-05,-63.2244449530785
0.269901166628519,-5.99E-05,-59.8506752117189
0.258246325703822,-5.69E-05,-56.8633554589151
0.246284778439002,-5.41E-05,-54.1029983978027
0.234016524834058,-5.19E-05,-51.9192492561227
0.222054977569238,-4.99E-05,-49.8581826504921
0.210400136644541,-4.82E-05,-48.1958342870222
0.198131883039597,-4.66E-05,-46.5702906843671
0.186170335774777,-4.53E-05,-45.2759899290455
0.173902082169833,-4.41E-05,-44.0614328221561
0.162247241245136,-4.28E-05,-42.8284733348592
0.150285693980316,-4.18E-05,-41.7918059052415
0.138017440375372,-4.10E-05,-41.0005035477226
0.125749186770428,-4.00E-05,-40.031311512932
0.114094345845731,-3.92E-05,-39.2338750286107
0.102132798580911,-3.86E-05,-38.6204623483635
0.0901712513160906,-3.78E-05,-37.8046234836347
0.0785164103913939,-3.72E-05,-37.185076676585
0.06624815678645,-3.66E-05,-36.639139391165
0.0539799031815061,-3.61E-05,-36.0993362325475
0.0420183559166857,-3.55E-05,-35.4920576791028
0.0297501023117418,-3.50E-05,-35.001327534905
0.0177885550469215,-3.44E-05,-34.4308537422751
0.00644042046234836,-3.40E-05,-33.9707942320897
-0.00582783314259556,-3.37E-05,-33.7192950331884
-0.0177893804074159,-3.33E-05,-33.3021744106203
-0.0300576340123598,-3.29E-05,-32.934126802472
-0.0420191812771801,-3.27E-05,-32.6826276035706
-0.0539807285420005,-3.25E-05,-32.492469672694
-0.0659422758068208,-3.24E-05,-32.3697871366445
-0.0769837040512703,-3.23E-05,-32.3023117418173
-0.0895586639963378,-3.24E-05,-32.4495307850767
-0.101826917601282,-3.29E-05,-32.8850537880522
-0.113481758525978,-3.33E-05,-33.3451132982376
-0.125750012130922,-3.42E-05,-34.1732204165713
-0.138018265735866,-3.51E-05,-35.0810711833371
